Date,High,Low,Open,Close,Volume,Adj Close,EMA5,EMA10,EMA20,EMA60,btop,bsma,bottom,bwidth
2020-01-02,12.8,12.6,12.6,12.7,14958333.0,12.46,,,,,,,,
2020-01-03,13.05,12.75,12.8,13.0,33187684.0,12.75,,,,,,,,
2020-01-06,13.2,12.9,13.0,13.0,26074171.0,12.75,,,,,,,,
2020-01-07,13.05,12.85,13.0,12.9,13880817.0,12.65,,,,,,,,
2020-01-08,12.75,12.6,12.75,12.6,14259237.0,12.36,12.84,,,,,,,
2020-01-09,12.95,12.7,12.75,12.85,14525833.0,12.61,12.84,,,,,,,
2020-01-10,13.2,12.9,12.9,13.15,32298874.0,12.9,12.95,,,,,,,
2020-01-13,13.2,13.05,13.15,13.15,9096980.0,12.9,13.01,,,,,,,
2020-01-14,13.35,13.15,13.15,13.2,15521831.0,12.95,13.08,,,,,,,
2020-01-15,13.3,13.0,13.2,13.15,13302223.0,12.9,13.1,12.97,,,,,,
2020-01-16,13.15,13.0,13.15,13.0,9247284.0,12.75,13.07,12.98,,,,,,
2020-01-17,13.1,12.9,13.1,13.0,7392323.0,12.75,13.04,12.98,,,,,,
2020-01-20,13.15,12.9,13.0,12.95,13088705.0,12.7,13.01,12.97,,,,,,
2020-01-30,12.4,11.7,12.4,11.8,38438091.0,11.58,12.61,12.76,,,,,,
2020-01-31,11.95,11.6,11.8,11.75,21127661.0,11.53,12.32,12.58,,,,,,
2020-02-03,11.55,11.1,11.3,11.45,16318713.0,11.23,12.03,12.37,,,,,,
2020-02-04,12.4,11.6,12.4,11.6,14654990.0,11.38,11.89,12.23,,,,,,
2020-02-05,11.85,11.6,11.65,11.7,13837986.0,11.48,11.83,12.14,,,,,,
2020-02-06,11.95,11.75,11.75,11.95,9407999.0,11.72,11.87,12.1,,,,,,
2020-02-07,11.85,11.65,11.8,11.65,10824948.0,11.43,11.79,12.02,12.53,,13.79,12.53,11.27,0.2
2020-02-10,11.6,11.35,11.5,11.5,9679186.0,11.28,11.7,11.92,12.43,,13.8,12.47,11.14,0.21
2020-02-11,11.7,11.6,11.6,11.65,5065372.0,11.43,11.68,11.87,12.36,,13.75,12.4,11.05,0.22
2020-02-12,11.9,11.7,11.75,11.8,10309287.0,11.58,11.72,11.86,12.3,,13.69,12.34,10.99,0.22
2020-02-13,11.95,11.8,11.9,11.9,10738163.0,11.67,11.78,11.87,12.26,,13.63,12.29,10.95,0.22
2020-02-14,11.85,11.65,11.85,11.75,5974302.0,11.53,11.77,11.85,12.22,,13.59,12.25,10.9,0.22
2020-02-17,11.65,11.5,11.6,11.55,14608747.0,11.33,11.7,11.79,12.15,,13.53,12.18,10.83,0.22
2020-02-18,11.85,11.5,11.5,11.8,11488440.0,11.58,11.73,11.79,12.12,,13.4,12.11,10.83,0.21
2020-02-19,12.05,11.8,11.85,11.95,17521990.0,11.72,11.8,11.82,12.1,,13.25,12.05,10.86,0.2
2020-02-20,12.1,11.75,12.05,11.85,9891715.0,11.62,11.82,11.83,12.08,,13.06,11.99,10.91,0.18
2020-02-21,11.9,11.7,11.8,11.75,6358715.0,11.53,11.8,11.81,12.05,,12.85,11.92,10.98,0.16
2020-02-24,11.75,11.55,11.7,11.55,10227904.0,11.33,11.71,11.77,12.0,,12.65,11.84,11.04,0.14
2020-02-25,11.8,11.45,11.5,11.7,7969925.0,11.48,11.71,11.75,11.97,,12.38,11.78,11.18,0.1
2020-02-26,11.7,11.55,11.55,11.6,6680201.0,11.38,11.67,11.73,11.94,,11.99,11.71,11.43,0.05
2020-02-27,11.7,11.5,11.6,11.55,14806845.0,11.33,11.63,11.69,11.9,,11.99,11.7,11.41,0.05
2020-03-02,11.55,11.35,11.4,11.4,11371015.0,11.18,11.55,11.64,11.85,,12.0,11.68,11.37,0.05
2020-03-03,11.65,11.4,11.55,11.4,10575116.0,11.18,11.5,11.6,11.81,,12.0,11.68,11.36,0.06
2020-03-04,11.6,11.4,11.45,11.55,17465059.0,11.33,11.52,11.59,11.78,,12.0,11.68,11.35,0.06
2020-03-05,11.95,11.55,11.6,11.85,26126904.0,11.62,11.63,11.64,11.79,,12.02,11.68,11.35,0.06
2020-03-06,11.85,11.6,11.7,11.7,10989456.0,11.48,11.65,11.65,11.78,,11.98,11.67,11.36,0.05
2020-03-09,11.6,11.3,11.6,11.4,24954959.0,11.18,11.57,11.6,11.75,,11.99,11.66,11.33,0.06
2020-03-10,11.85,11.3,11.35,11.7,30017233.0,11.48,11.61,11.62,11.74,,11.99,11.67,11.35,0.06
2020-03-11,11.8,11.5,11.7,11.55,13353851.0,11.33,11.59,11.61,11.72,,11.99,11.67,11.34,0.06
2020-03-12,11.55,11.1,11.5,11.1,28715813.0,10.89,11.43,11.52,11.66,,12.03,11.63,11.23,0.07
2020-03-13,10.6,10.1,10.15,10.45,31335247.0,10.25,11.1,11.32,11.55,,12.19,11.56,10.92,0.11
2020-03-16,10.5,9.86,10.5,9.86,29131448.0,9.67,10.69,11.06,11.39,,12.43,11.46,10.49,0.17
2020-03-17,9.7,9.32,9.41,9.42,29174564.0,9.24,10.27,10.76,11.2,,12.67,11.36,10.04,0.23
2020-03-18,9.98,9.38,9.46,9.5,22510059.0,9.32,10.01,10.53,11.04,,12.77,11.24,9.72,0.27
2020-03-19,9.45,8.9,9.45,9.2,27928009.0,9.02,9.74,10.29,10.86,,12.83,11.1,9.38,0.31
2020-03-20,9.72,9.4,9.4,9.6,18257505.0,9.42,9.69,10.16,10.74,,12.8,10.99,9.18,0.33
2020-03-23,9.35,8.97,9.2,9.24,13930087.0,9.06,9.54,9.99,10.6,,12.79,10.87,8.94,0.35
2020-03-24,9.72,9.3,9.51,9.44,15228404.0,9.26,9.51,9.89,10.49,,12.75,10.76,8.77,0.37
2020-03-25,9.91,9.58,9.58,9.68,18416080.0,9.5,9.57,9.86,10.41,,12.66,10.66,8.66,0.37
2020-03-26,9.85,9.55,9.82,9.67,10332621.0,9.49,9.6,9.82,10.34,,12.56,10.56,8.57,0.38
2020-03-27,9.79,9.4,9.77,9.4,20127371.0,9.22,9.53,9.74,10.25,,12.46,10.46,8.45,0.38
2020-03-30,9.24,9.01,9.2,9.23,13666419.0,9.05,9.43,9.65,10.15,,12.37,10.35,8.33,0.39
2020-03-31,9.44,9.12,9.34,9.25,13597672.0,9.07,9.37,9.58,10.07,,12.25,10.24,8.23,0.39
2020-04-01,9.19,9.1,9.19,9.1,10516525.0,8.93,9.28,9.49,9.98,,12.09,10.12,8.14,0.39
2020-04-06,9.16,8.97,9.15,9.11,12875253.0,8.94,9.22,9.42,9.89,,11.83,9.98,8.13,0.37
2020-04-07,9.35,9.17,9.24,9.26,14454432.0,9.08,9.24,9.39,9.83,,11.56,9.86,8.16,0.34
2020-04-08,9.69,9.23,9.26,9.66,16924665.0,9.48,9.38,9.44,9.82,11.32,11.32,9.77,8.23,0.32
2020-04-09,10.3,9.72,9.72,10.25,33924385.0,10.05,9.67,9.59,9.86,11.28,10.99,9.7,8.41,0.27
2020-04-10,10.35,10.05,10.35,10.2,14150900.0,10.01,9.85,9.7,9.89,11.25,10.64,9.63,8.62,0.21
2020-04-13,10.25,10.0,10.25,10.05,11667669.0,9.86,9.91,9.76,9.91,11.21,10.36,9.58,8.8,0.16
2020-04-14,10.3,10.1,10.15,10.15,14006395.0,9.96,9.99,9.83,9.93,11.17,10.29,9.56,8.84,0.15
2020-04-15,10.8,10.3,10.35,10.35,32565018.0,10.15,10.11,9.93,9.97,11.15,10.38,9.59,8.8,0.16
2020-04-16,10.35,10.15,10.3,10.3,16207467.0,10.1,10.17,10.0,10.0,11.12,10.48,9.63,8.79,0.18
2020-04-17,10.6,10.2,10.5,10.25,17816694.0,10.05,10.2,10.04,10.02,11.09,10.55,9.67,8.79,0.18
2020-04-20,10.25,10.05,10.25,10.1,15735430.0,9.91,10.17,10.05,10.03,11.06,10.59,9.71,8.84,0.18
2020-04-21,10.25,9.83,10.1,9.88,25693659.0,9.69,10.07,10.02,10.02,11.02,10.6,9.73,8.85,0.18
2020-04-22,9.92,9.61,9.8,9.88,8692104.0,9.69,10.01,10.0,10.0,10.98,10.61,9.76,8.91,0.17
2020-04-23,10.15,9.93,9.93,10.05,9360981.0,9.86,10.02,10.01,10.01,10.95,10.64,9.79,8.95,0.17
2020-04-24,10.1,9.91,10.05,9.94,7235736.0,9.75,9.99,9.99,10.0,10.92,10.65,9.8,8.96,0.17
2020-04-27,10.25,10.05,10.1,10.2,10720698.0,10.01,10.06,10.03,10.02,10.9,10.69,9.83,8.97,0.17
2020-04-28,10.6,10.25,10.35,10.55,21248642.0,10.35,10.23,10.13,10.07,10.88,10.78,9.89,9.0,0.18
2020-04-29,10.85,10.6,10.65,10.7,33434503.0,10.5,10.38,10.23,10.13,10.88,10.86,9.96,9.06,0.18
2020-04-30,11.15,10.75,11.0,11.1,43075507.0,10.89,10.62,10.39,10.22,10.89,11.02,10.05,9.08,0.19
2020-05-04,10.85,10.6,10.75,10.75,15988665.0,10.55,10.66,10.45,10.27,10.88,11.05,10.14,9.23,0.18
2020-05-05,10.8,10.5,10.75,10.65,13792138.0,10.45,10.66,10.49,10.31,10.87,11.02,10.21,9.41,0.16
2020-05-06,10.65,10.45,10.65,10.55,9321821.0,10.35,10.62,10.5,10.33,10.86,10.96,10.28,9.59,0.13
2020-05-07,10.7,10.55,10.6,10.6,5879421.0,10.4,10.62,10.52,10.36,10.85,10.96,10.33,9.69,0.12
2020-05-08,10.75,10.5,10.7,10.55,9098209.0,10.35,10.59,10.52,10.38,10.84,10.98,10.34,9.7,0.12
2020-05-11,10.9,10.65,10.7,10.75,10946505.0,10.55,10.65,10.57,10.41,10.84,11.03,10.37,9.7,0.13
2020-05-12,10.7,10.5,10.65,10.5,11107426.0,10.3,10.6,10.55,10.42,10.83,11.04,10.39,9.74,0.12
2020-05-13,10.6,10.45,10.5,10.6,7022995.0,10.4,10.6,10.56,10.44,10.82,11.06,10.41,9.77,0.12
2020-05-14,10.55,10.35,10.55,10.35,12178053.0,10.15,10.52,10.52,10.43,10.81,11.06,10.41,9.77,0.12
2020-05-15,10.5,10.35,10.45,10.45,7722192.0,10.25,10.49,10.51,10.43,10.8,11.06,10.42,9.78,0.12
2020-05-18,10.7,10.45,10.45,10.7,12938292.0,10.5,10.56,10.54,10.46,10.79,11.09,10.44,9.79,0.12
2020-05-19,11.0,10.7,10.95,10.7,16721681.0,10.5,10.61,10.57,10.48,10.79,11.11,10.47,9.83,0.12
2020-05-20,10.85,10.7,10.8,10.75,16830943.0,10.55,10.66,10.61,10.51,10.79,11.1,10.52,9.93,0.11
2020-05-21,11.15,10.9,11.0,11.0,50540720.0,10.79,10.77,10.68,10.55,10.79,11.12,10.57,10.03,0.1
2020-05-22,11.05,10.75,10.95,10.75,13613401.0,10.55,10.76,10.69,10.57,10.79,11.1,10.61,10.11,0.09
2020-05-25,10.85,10.65,10.8,10.75,6768042.0,10.55,10.76,10.7,10.59,10.79,11.04,10.65,10.25,0.07
2020-05-26,10.95,10.85,10.9,10.95,8628610.0,10.74,10.82,10.75,10.62,10.8,11.04,10.69,10.33,0.07
2020-05-27,11.05,10.8,11.0,10.85,12072572.0,10.64,10.83,10.77,10.64,10.8,11.06,10.7,10.34,0.07
2020-05-28,11.2,10.85,10.9,10.9,28330734.0,10.69,10.85,10.79,10.67,10.8,11.08,10.71,10.34,0.07
2020-05-29,11.05,10.75,10.9,10.9,22947157.0,10.69,10.87,10.81,10.69,10.81,11.03,10.7,10.37,0.06
2020-06-01,11.35,11.0,11.05,11.2,24207299.0,10.99,10.98,10.88,10.74,10.82,11.12,10.72,10.32,0.07
2020-06-02,11.35,11.1,11.25,11.25,13347786.0,11.04,11.07,10.95,10.79,10.83,11.21,10.75,10.29,0.09
2020-06-03,11.35,11.2,11.3,11.3,13754526.0,11.08,11.15,11.01,10.84,10.85,11.3,10.79,10.28,0.09
2020-06-04,11.4,11.2,11.35,11.25,15921841.0,11.04,11.18,11.06,10.88,10.86,11.36,10.82,10.29,0.1
2020-06-05,11.65,11.2,11.25,11.4,30560967.0,11.18,11.25,11.12,10.93,10.88,11.44,10.86,10.29,0.11
